Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,link,id
4/12/2013,,Mississippi State,L,2-3,31,2,7,2,3,0,0,3,0,2,0,0,1,0,3,6,27,5,1,.226,/boxscore.aspx?id=4591&path=baseball,4591
4/9/2013,,Sam Houston,W,4-1,31,4,7,4,1,0,1,1,0,0,0,1,0,0,0,5,27,10,0,.226,/boxscore.aspx?id=4589&path=baseball,4589
4/7/2013,,Auburn,W,4-1,29,4,7,3,2,1,0,3,0,2,0,1,0,1,1,9,27,9,0,.241,/boxscore.aspx?id=4588&path=baseball,4588
4/6/2013,,Auburn,L,5-10,36,5,11,4,1,0,0,1,0,0,0,3,0,1,0,3,27,11,2,.306,/boxscore.aspx?id=4586&path=baseball,4586
4/5/2013,,Auburn,L,4-6,35,4,12,3,0,1,0,3,0,3,1,0,3,1,1,7,30,13,2,.343,/boxscore.aspx?id=4585&path=baseball,4585
4/2/2013,,UTSA,W,11-4,36,11,14,9,1,0,0,5,0,1,1,2,1,1,1,4,27,16,4,.389,/boxscore.aspx?id=4584&path=baseball,4584
3/30/2013,at,South Carolina,L,3-6,30,3,8,3,0,0,0,4,0,1,0,2,3,1,2,5,24,9,0,.267,/boxscore.aspx?id=4583&path=baseball,4583
3/29/2013,at,South Carolina,L,4-6,38,4,9,4,2,0,0,0,0,0,0,0,0,0,0,11,24,11,2,.237,/boxscore.aspx?id=4582&path=baseball,4582
3/28/2013,at,South Carolina,L,2-3,35,2,10,2,2,0,0,1,0,0,2,2,0,0,0,17,24,8,1,.286,/boxscore.aspx?id=4581&path=baseball,4581
3/26/2013,,UT Arlington,W,7-0,34,7,10,7,1,1,2,4,0,1,0,0,1,0,2,3,27,10,0,.294,/boxscore.aspx?id=4580&path=baseball,4580
3/24/2013,at,Ole Miss,W,10-6,27,10,12,10,4,1,0,3,1,0,0,1,4,1,1,3,21,11,3,.444,/boxscore.aspx?id=4579&path=baseball,4579
3/24/2013,at,Ole Miss,W,2-1,22,2,5,2,0,0,1,4,1,0,1,1,2,0,1,3,21,6,0,.227,/boxscore.aspx?id=4578&path=baseball,4578
3/22/2013,at,Ole Miss,L,2-8,35,2,8,1,0,0,0,0,0,1,1,0,0,0,1,10,24,8,1,.229,/boxscore.aspx?id=4577&path=baseball,4577
